17,31,47,3
95,36,73,3
7,37,67,3
1,25,107,3
38,28,29,3
65,2,31,3
101,18,17,3
38,28,11,3
11,22,17,3
19,12,59,3
11,22,71,3
95,30,103,3
6,15,23,3
38,28,71,3
23,33,43,3
23,33,101,3
97,14,5,3
101,29,13,3
17,31,5,3
95,23,17,3
55,35,79,3
2,20,3,4
7,37,23,3
38,28,37,3
58,11,7,3
65,2,109,3
109,26,17,3
67,0,53,3
23,33,23,4
101,29,3,3
29,38,29,4
29,8,73,3
6,21,3,4
95,16,47,3
26,10,2,4
1,39,23,3
97,32,109,3
38,28,97,3
109,26,109,4
97,32,71,3
1,38,53,3
26,9,53,3
6,15,89,3
13,10,103,3
55,34,101,3
6,5,109,3
95,16,89,3
19,12,107,3
115,24,17,3
1,19,97,3
123,3,13,3
1,39,113,3
119,13,2,3
7,27,41,3
83,1,11,3
101,29,107,3
29,8,43,3
17,31,73,3
95,36,13,3
1,38,59,3
119,6,71,3
115,24,37,3
97,32,113,3
38,28,107,3
55,35,31,3
1,33,47,3
1,26,79,3
1,26,61,3
95,7,59,3
7,37,41,3
95,7,19,4
6,5,23,3
1,19,2,4
97,14,89,3
58,11,17,3
1,19,71,3
7,37,83,3
58,11,37,3
101,29,2,3
95,36,41,3
2,21,13,3
26,9,37,3
95,16,83,3
1,19,59,3
119,13,37,3
97,14,23,3
1,39,37,3
7,37,13,3
95,16,67,3
1,38,7,3
17,31,2,3
6,5,41,3
1,39,61,3
5,7,89,3
11,22,11,4
7,37,97,3
123,3,109,3
119,4,79,3
115,24,23,4
5,24,19,3
55,35,97,3
95,23,3,3
38,28,31,3
2,21,11,3
6,15,73,3
5,7,73,3
101,29,5,3
95,30,59,3
13,10,101,3
1,19,17,3
95,16,13,3
55,35,83,3
119,4,47,3
83,1,53,3
119,4,29,3
83,1,7,3
6,15,43,3
101,18,29,3
7,37,103,3
1,26,89,3
101,18,23,3
26,9,2,4
1,25,73,3
119,4,19,3
119,4,13,3
95,36,59,3
95,30,107,3
123,3,83,3
2,21,5,3
19,12,19,4
38,28,73,3
13,9,17,3
1,12,47,3
13,9,43,3
97,32,2,3
67,0,97,3
2,20,37,3
67,0,103,3
1,26,53,3
95,30,43,3
1,12,79,3
1,12,53,3
119,4,59,3
1,39,83,3
7,27,2,4
5,24,61,3
2,21,29,3
55,35,13,3
